improved_id	drug_name	ingredients_list	ingredient_ids	combination_therapy	alternate_ids	label	approved_japan	marketing_status_europe	approved_eu	marketing_status_usa	approved_usa	approved_russia	approved_india	is_radioisotope_or_diagnostic_agent	is_allergen	is_metallic_salt	is_no_therapeutic_value
CHEBI:100147	NALIDIXIC ACID; NAVIDIX ACID; NALIDIX ACID			FALSE	"['CHEBI:100147', 'UNII:3B91HWA56M', 'PUBCHEM.COMPOUND:4421', 'CHEMBL.COMPOUND:CHEMBL5', 'DRUGBANK:DB00779', 'MESH:D009268', 'CAS:389-08-2', 'DrugCentral:1875', 'GTOPDB:12773', 'HMDB:HMDB0014917', 'KEGG.COMPOUND:C05079', 'INCHIKEY:MHWLWQUZZRMNGJ-UHFFFAOYSA-N', 'UMLS:C0027353', 'RXCUI:7240', 'RXCUI:618427', 'UMLS:C1247049', 'RXCUI:618430', 'UMLS:C1247048', 'RXCUI:854810', 'UMLS:C2709682', 'RXCUI:854812', 'UMLS:C0978890', 'RXCUI:854813', 'UMLS:C2709683', 'RXCUI:854815', 'UMLS:C0689710', 'RXCUI:854816', 'UMLS:C2709684', 'RXCUI:854818', 'UMLS:C0981609', 'RXCUI:854819', 'UMLS:C2709685', 'RXCUI:854822', 'UMLS:C0689712', 'RXCUI:854823', 'UMLS:C2709686', 'RXCUI:854884', 'UMLS:C0543011', 'RXCUI:1156973', 'UMLS:C3211399', 'RXCUI:1156974', 'UMLS:C3211400', 'RXCUI:1156975', 'UMLS:C3211401', 'RXCUI:2645318', 'UMLS:C4720220', 'RXCUI:2645515', 'UMLS:C5834691', 'RXCUI:2656237', 'UMLS:C5840097', 'RXCUI:2658807', 'UMLS:C5842658', 'RXCUI:2659179', 'UMLS:C5842989', 'RXCUI:2662375', 'UMLS:C5846179', 'RXCUI:2662736', 'UMLS:C5846540', 'UMLS:C0369723', 'RXCUI:618425']"	Nalidixic acid				DISCONTINUED	1	1	1	FALSE	FALSE	FALSE	FALSE
CHEBI:10023	VORICONAZOLE; VORICONAZOLE POWDER FOR ORAL SOLUION (40MG/ML); VORICONAZOLE TABLETS & INJECTION			FALSE	"['CHEBI:10023', 'UNII:JFU09I87TR', 'PUBCHEM.COMPOUND:71616', 'CHEMBL.COMPOUND:CHEMBL638', 'DRUGBANK:DB00582', 'MESH:D065819', 'CAS:137234-62-9', 'CAS:173967-54-9', 'DrugCentral:2846', 'HMDB:HMDB0014720', 'KEGG.COMPOUND:C07622', 'INCHIKEY:BCEHBSKCWLPMDN-MGPLVRAMSA-N', 'UMLS:C0393080', 'RXCUI:121243', 'RXCUI:338272', 'UMLS:C1136812', 'RXCUI:349434', 'UMLS:C1165011', 'RXCUI:349435', 'UMLS:C1165012', 'RXCUI:350637', 'UMLS:C1166401', 'RXCUI:350643', 'UMLS:C1166407', 'RXCUI:351209', 'UMLS:C1168765', 'RXCUI:352218', 'UMLS:C1169835', 'RXCUI:352219', 'UMLS:C1169836', 'RXCUI:352220', 'UMLS:C1169837', 'RXCUI:368579', 'UMLS:C1242566', 'RXCUI:378691', 'UMLS:C1253038', 'RXCUI:465355', 'UMLS:C1443649', 'RXCUI:477139', 'UMLS:C1509967', 'RXCUI:477141', 'UMLS:C1509968', 'RXCUI:546622', 'UMLS:C1590642', 'RXCUI:546623', 'UMLS:C1590643', 'RXCUI:546624', 'UMLS:C1586957', 'RXCUI:575939', 'UMLS:C1593641', 'RXCUI:575940', 'UMLS:C1593642', 'RXCUI:1164590', 'UMLS:C3218863', 'RXCUI:1164591', 'UMLS:C3218864', 'RXCUI:1164592', 'UMLS:C3218865', 'RXCUI:1164593', 'UMLS:C3218866', 'RXCUI:1188084', 'UMLS:C3241816', 'RXCUI:1188085', 'UMLS:C3241817', 'RXCUI:1188086', 'UMLS:C3241818', 'RXCUI:1188087', 'UMLS:C3241819', 'RXCUI:1727280', 'UMLS:C4060390', 'RXCUI:1727282', 'UMLS:C4060179']"	Voriconazole	1	Authorised	1	RX	1	1	1	FALSE	FALSE	FALSE	FALSE
CHEBI:100246	NORFLOXACIN; NORFLOXACIN POWDER 10%; NORFLOXACIN TABLETS			FALSE	"['CHEBI:100246', 'UNII:N0F8P22L1P', 'PUBCHEM.COMPOUND:4539', 'CHEMBL.COMPOUND:CHEMBL9', 'DRUGBANK:DB01059', 'MESH:D009643', 'CAS:70458-96-7', 'DrugCentral:1967', 'GTOPDB:12408', 'HMDB:HMDB0015192', 'KEGG.COMPOUND:C06687', 'INCHIKEY:OGJPXUAPXNRGGI-UHFFFAOYSA-N', 'UMLS:C0028365', 'RXCUI:7517', 'RXCUI:198044', 'UMLS:C0689810', 'RXCUI:317446', 'UMLS:C0992671', 'RXCUI:373120', 'UMLS:C1247182', 'RXCUI:377401', 'UMLS:C1251625', 'RXCUI:1159851', 'UMLS:C3214230', 'RXCUI:1159852', 'UMLS:C3214231', 'RXCUI:1159853', 'UMLS:C3214232']"	Norfloxacin				DISCONTINUED	1	1	1	FALSE	FALSE	FALSE	FALSE
CHEBI:10033	WARFARIN ; WARFARIN			FALSE	"['CHEBI:10033', 'CHEBI:87732', 'UNII:5Q7ZVV76EI', 'PUBCHEM.COMPOUND:54678486', 'CHEMBL.COMPOUND:CHEMBL1464', 'DRUGBANK:DB00682', 'MESH:D014859', 'CAS:81-81-2', 'CAS:951658-59-6', 'DrugCentral:2847', 'GTOPDB:6853', 'HMDB:HMDB0001935', 'KEGG.COMPOUND:C01541', 'INCHIKEY:PJVWKTKQMONHTI-UHFFFAOYSA-N', 'UMLS:C0043031', 'RXCUI:11289', 'UNII:6153CWM0CL', 'PUBCHEM.COMPOUND:16204922', 'CHEMBL.COMPOUND:CHEMBL1200879', 'CAS:129-06-6', 'CAS:67430-45-9', 'INCHIKEY:KYITYFHKDODNCQ-UHFFFAOYSA-M', 'RXCUI:202421', 'UMLS:C0699129', 'RXCUI:368417', 'UMLS:C1242401', 'RXCUI:374319', 'UMLS:C1248397', 'RXCUI:405155', 'UMLS:C1330361', 'RXCUI:406078', 'UMLS:C1331311', 'RXCUI:855287', 'UMLS:C2709897', 'RXCUI:855288', 'UMLS:C0981135', 'RXCUI:855289', 'UMLS:C2709898', 'RXCUI:855290', 'UMLS:C0710781', 'RXCUI:855291', 'UMLS:C2709899', 'RXCUI:855292', 'UMLS:C1329347', 'RXCUI:855295', 'UMLS:C2709901', 'RXCUI:855296', 'UMLS:C0981134', 'RXCUI:855297', 'UMLS:C2709902', 'RXCUI:855298', 'UMLS:C0710787', 'RXCUI:855299', 'UMLS:C2709903', 'RXCUI:855300', 'UMLS:C1329353', 'RXCUI:855301', 'UMLS:C2709904', 'RXCUI:855302', 'UMLS:C1584930', 'RXCUI:855303', 'UMLS:C2709905', 'RXCUI:855304', 'UMLS:C0710782', 'RXCUI:855305', 'UMLS:C2709906', 'RXCUI:855306', 'UMLS:C1329348', 'RXCUI:855311', 'UMLS:C2709909', 'RXCUI:855312', 'UMLS:C0981136', 'RXCUI:855313', 'UMLS:C2709910', 'RXCUI:855314', 'UMLS:C0710783', 'RXCUI:855315', 'UMLS:C2709911', 'RXCUI:855316', 'UMLS:C1329349', 'RXCUI:855317', 'UMLS:C2709912', 'RXCUI:855318', 'UMLS:C0981794', 'RXCUI:855319', 'UMLS:C2709913', 'RXCUI:855320', 'UMLS:C0714723', 'RXCUI:855321', 'UMLS:C2709914', 'RXCUI:855322', 'UMLS:C1329464', 'RXCUI:855323', 'UMLS:C2709915', 'RXCUI:855324', 'UMLS:C0690746', 'RXCUI:855325', 'UMLS:C2709916', 'RXCUI:855326', 'UMLS:C0710785', 'RXCUI:855327', 'UMLS:C2709917', 'RXCUI:855328', 'UMLS:C1329351', 'RXCUI:855331', 'UMLS:C2709919', 'RXCUI:855332', 'UMLS:C0981793', 'RXCUI:855333', 'UMLS:C2709920', 'RXCUI:855334', 'UMLS:C0710780', 'RXCUI:855335', 'UMLS:C2709921', 'RXCUI:855336', 'UMLS:C1329346', 'RXCUI:855337', 'UMLS:C2709922', 'RXCUI:855338', 'UMLS:C0981140', 'RXCUI:855339', 'UMLS:C2709923', 'RXCUI:855340', 'UMLS:C0714724', 'RXCUI:855341', 'UMLS:C2709924', 'RXCUI:855342', 'UMLS:C1329465', 'RXCUI:855343', 'UMLS:C2709925', 'RXCUI:855344', 'UMLS:C0981141', 'RXCUI:855345', 'UMLS:C2709926', 'RXCUI:855346', 'UMLS:C0710786', 'RXCUI:855347', 'UMLS:C2709927', 'RXCUI:855348', 'UMLS:C1329352', 'RXCUI:855349', 'UMLS:C2709928', 'RXCUI:855350', 'UMLS:C1276897', 'RXCUI:1161789', 'UMLS:C3216122', 'RXCUI:1161790', 'UMLS:C3216123', 'RXCUI:1161791', 'UMLS:C3216124', 'RXCUI:1167808', 'UMLS:C3221983', 'RXCUI:1167809', 'UMLS:C3221984', 'RXCUI:1171655', 'UMLS:C3225723', 'RXCUI:1171656', 'UMLS:C3225724', 'RXCUI:2648634', 'UMLS:C4720019', 'RXCUI:2654201', 'UMLS:C5838068', 'RXCUI:2655262', 'UMLS:C5839127', 'RXCUI:2655823', 'UMLS:C5839684', 'RXCUI:2656852', 'UMLS:C5840710', 'RXCUI:2660488', 'UMLS:C5844295', 'RXCUI:2662939', 'UMLS:C5846743', 'RXCUI:2663210', 'UMLS:C5847014', 'UMLS:C0282378', 'RXCUI:82118', 'UMLS:C0376218', 'RXCUI:114194']"	Warfarin				RX; DISCONTINUED	1	1		FALSE	FALSE	FALSE	FALSE
CHEBI:10082	XYLOMETAZOLINE; IPRATROPIUM 0.6 MG NASAL SPRAY; XYLOMETAZOLINE 0.5 MG	"['XYLOMETAZOLINE 0.5 MG', 'IPRATROPIUM 0.6 MG NASAL SPRAY']"	"['CHEBI:10082', 'CHEBI:7862']"	False; True	"['CHEBI:10082', 'UNII:WPY40FTH8K', 'PUBCHEM.COMPOUND:5709', 'CHEMBL.COMPOUND:CHEMBL312448', 'DRUGBANK:DB06694', 'MESH:C009695', 'CAS:526-36-3', 'DrugCentral:3658', 'GTOPDB:517', 'HMDB:HMDB0015640', 'KEGG.COMPOUND:C07913', 'INCHIKEY:HUCJFAOMUPXHDK-UHFFFAOYSA-N', 'UMLS:C0078643', 'RXCUI:39841', 'PUBCHEM.COMPOUND:5282386', 'CAS:1218-35-5', 'RXCUI:328969', 'UMLS:C1124004', 'RXCUI:332939', 'UMLS:C1129276', 'RXCUI:374484', 'UMLS:C1248566', 'RXCUI:377398', 'UMLS:C1251622', 'RXCUI:387790', 'UMLS:C1270899', 'RXCUI:648272', 'UMLS:C1742251', 'RXCUI:648273', 'UMLS:C1741983', 'RXCUI:648274', 'UMLS:C1298341', 'RXCUI:1165253', 'UMLS:C3219509', 'RXCUI:1165254', 'UMLS:C3219510', 'RXCUI:1165255', 'UMLS:C3219511', 'RXCUI:1165256', 'UMLS:C3219512', 'RXCUI:1363492', 'UMLS:C3528848', 'RXCUI:1363493', 'UMLS:C0691947', 'RXCUI:1549366', 'UMLS:C3855949', 'RXCUI:1549367', 'UMLS:C0775748', 'RXCUI:1549372', 'UMLS:C0543141', 'RXCUI:2647393', 'UMLS:C5836225', 'RXCUI:2648251', 'UMLS:C5836932', 'RXCUI:2655494', 'UMLS:C5839359', 'RXCUI:2655985', 'UMLS:C5839846', 'RXCUI:2656404', 'UMLS:C5840263', 'RXCUI:2656894', 'UMLS:C5840752', 'RXCUI:2657851', 'UMLS:C5841708', 'RXCUI:2659476', 'UMLS:C5843285', 'RXCUI:2660315', 'UMLS:C5844123', 'UMLS:C0134258', 'RXCUI:54220']"	Xylometazoline							1	FALSE	FALSE	FALSE	FALSE
CHEBI:10100	ZAFIRLUKAST; ZAFIRLUKAST TAB & BULK			FALSE	"['CHEBI:10100', 'UNII:XZ629S5L50', 'PUBCHEM.COMPOUND:5717', 'CHEMBL.COMPOUND:CHEMBL603', 'DRUGBANK:DB00549', 'MESH:C062735', 'CAS:107753-78-6', 'DrugCentral:2855', 'GTOPDB:3322', 'HMDB:HMDB0014689', 'KEGG.COMPOUND:C07206', 'INCHIKEY:YEEZWCHGZNKEEK-UHFFFAOYSA-N', 'UMLS:C0378466', 'RXCUI:114970', 'RXCUI:135092', 'UMLS:C0526502', 'RXCUI:199655', 'UMLS:C0693241', 'RXCUI:211776', 'UMLS:C0714137', 'RXCUI:261313', 'UMLS:C0875803', 'RXCUI:313758', 'UMLS:C0981163', 'RXCUI:316914', 'UMLS:C0991377', 'RXCUI:330411', 'UMLS:C1126068', 'RXCUI:367658', 'UMLS:C1241633', 'RXCUI:374330', 'UMLS:C1248409', 'RXCUI:572109', 'UMLS:C1606307', 'RXCUI:574535', 'UMLS:C1592262', 'RXCUI:1165263', 'UMLS:C3219519', 'RXCUI:1165264', 'UMLS:C3219520', 'RXCUI:1165968', 'UMLS:C3220209', 'RXCUI:1165969', 'UMLS:C3220210']"	Zafirlukast				RX	1		1	FALSE	FALSE	FALSE	FALSE
CHEBI:10101	ZALCITABINE; ZALCITABINE FILM COATED TABLETS (FINISHED FORMULATION)			FALSE	"['CHEBI:10101', 'UNII:6L3XT8CB3I', 'PUBCHEM.COMPOUND:24066', 'CHEMBL.COMPOUND:CHEMBL853', 'DRUGBANK:DB00943', 'MESH:D016047', 'CAS:7481-89-2', 'DrugCentral:2856', 'GTOPDB:4828', 'HMDB:HMDB0015078', 'KEGG.COMPOUND:C07207', 'INCHIKEY:WREGKURFCTUGRC-POYBYMJQSA-N', 'UMLS:C0012132', 'RXCUI:3363', 'RXCUI:313759', 'UMLS:C0981164', 'RXCUI:313760', 'UMLS:C0981165', 'RXCUI:328838', 'UMLS:C1123833', 'RXCUI:328839', 'UMLS:C1123834', 'RXCUI:379127', 'UMLS:C1253516', 'RXCUI:1163023', 'UMLS:C3217340', 'RXCUI:1163024', 'UMLS:C3217341']"	Zalcitabine				DISCONTINUED	1		1	FALSE	FALSE	FALSE	TRUE
CHEBI:10102	ZALEPLON; ZALEPLON CAP & BULK			FALSE	"['CHEBI:10102', 'UNII:S62U433RMH', 'PUBCHEM.COMPOUND:5719', 'CHEMBL.COMPOUND:CHEMBL1521', 'DRUGBANK:DB00962', 'MESH:C085665', 'CAS:1007130-22-4', 'CAS:151319-34-5', 'DrugCentral:2857', 'GTOPDB:4345', 'HMDB:HMDB0015097', 'KEGG.COMPOUND:C07484', 'INCHIKEY:HUNXMJYCHXQEGX-UHFFFAOYSA-N', 'UMLS:C0251504', 'RXCUI:74667', 'RXCUI:313761', 'UMLS:C0981166', 'RXCUI:313762', 'UMLS:C0981167', 'RXCUI:330412', 'UMLS:C1126069', 'RXCUI:330413', 'UMLS:C1126070', 'RXCUI:374609', 'UMLS:C1248696', 'RXCUI:1165265', 'UMLS:C3219521', 'RXCUI:1165266', 'UMLS:C3219522']"	Zaleplon		Withdrawn	1	RX	1		1	FALSE	FALSE	FALSE	FALSE
CHEBI:101085	DICHLORPHENAMIDE			FALSE	"['CHEBI:101085', 'UNII:VVJ6673MHY', 'PUBCHEM.COMPOUND:3038', 'CHEMBL.COMPOUND:CHEMBL17', 'DRUGBANK:DB01144', 'MESH:D004005', 'CAS:120-97-8', 'DrugCentral:864', 'GTOPDB:6807', 'HMDB:HMDB0015275', 'KEGG.COMPOUND:C07459', 'INCHIKEY:GJQPMPFPNINLKP-UHFFFAOYSA-N', 'UMLS:C0012086', 'RXCUI:3353', 'RXCUI:197594', 'UMLS:C0688569', 'RXCUI:317631', 'UMLS:C0993329', 'RXCUI:371791', 'UMLS:C1245832', 'RXCUI:1151143', 'UMLS:C3205675', 'RXCUI:1155895', 'UMLS:C3210338', 'RXCUI:1661794', 'UMLS:C4046842', 'RXCUI:1661795', 'UMLS:C4046917', 'RXCUI:1661796', 'UMLS:C4046989', 'RXCUI:1661797', 'UMLS:C4047063', 'RXCUI:1661798', 'UMLS:C4047062', 'RXCUI:1661799', 'UMLS:C4046468', 'RXCUI:2677442', 'UMLS:C5889615', 'RXCUI:2677443', 'UMLS:C5889616', 'RXCUI:2677444', 'UMLS:C5889617', 'RXCUI:2677445', 'UMLS:C5889618', 'RXCUI:2677446', 'UMLS:C5889619', 'RXCUI:2677447', 'UMLS:C5889620']"	Diclofenamide				RX	1		1	FALSE	FALSE	FALSE	FALSE
CHEBI:101096	ETHOXZOLAMIDE			FALSE	"['CHEBI:101096', 'UNII:Z52H4811WX', 'PUBCHEM.COMPOUND:3295', 'CHEMBL.COMPOUND:CHEMBL18', 'DRUGBANK:DB00311', 'MESH:D005016', 'CAS:452-35-7', 'DrugCentral:1089', 'GTOPDB:6814', 'HMDB:HMDB0014456', 'INCHIKEY:OUZWUKMCLIBBOG-UHFFFAOYSA-N', 'UMLS:C0015052']"	Ethoxzolamide				DISCONTINUED	1			FALSE	FALSE	FALSE	FALSE
CHEBI:10110	ZIDOVUDINE; ZIDOVUDIN; ZIDOVUDINE TAB; ZIDOVUDINE CAPSULES & INJ.			FALSE	"['CHEBI:10110', 'UNII:4B9XT59T7S', 'PUBCHEM.COMPOUND:35370', 'CHEMBL.COMPOUND:CHEMBL129', 'DRUGBANK:DB00495', 'MESH:D015215', 'CAS:30516-87-1', 'DrugCentral:2861', 'GTOPDB:4825', 'HMDB:HMDB0014638', 'KEGG.COMPOUND:C07210', 'INCHIKEY:HBOMLICNUCNMMY-XLPZGREQSA-N', 'UMLS:C0043474', 'RXCUI:11413', 'RXCUI:105331', 'UMLS:C0356313', 'RXCUI:108396', 'UMLS:C0361066', 'RXCUI:198352', 'UMLS:C0690754', 'RXCUI:199663', 'UMLS:C0693255', 'RXCUI:201907', 'UMLS:C0698519', 'RXCUI:202791', 'UMLS:C0699576', 'RXCUI:204534', 'UMLS:C0703903', 'RXCUI:316915', 'UMLS:C0991380', 'RXCUI:316916', 'UMLS:C0991381', 'RXCUI:317538', 'UMLS:C0993143', 'RXCUI:336867', 'UMLS:C1134209', 'RXCUI:366687', 'UMLS:C1240656', 'RXCUI:374331', 'UMLS:C1248410', 'RXCUI:374332', 'UMLS:C1248411', 'RXCUI:564526', 'UMLS:C1596966', 'RXCUI:566052', 'UMLS:C1598480', 'RXCUI:755298', 'UMLS:C0698521', 'RXCUI:756209', 'UMLS:C0777494', 'RXCUI:756805', 'UMLS:C1253514', 'RXCUI:756806', 'UMLS:C2240651', 'RXCUI:900629', 'UMLS:C2741235', 'RXCUI:901048', 'UMLS:C2732648', 'RXCUI:1163026', 'UMLS:C3217343', 'RXCUI:1163027', 'UMLS:C3217344', 'RXCUI:1163028', 'UMLS:C3217345', 'RXCUI:1163029', 'UMLS:C3217346', 'RXCUI:1182538', 'UMLS:C3236373', 'RXCUI:1182540', 'UMLS:C3236375', 'RXCUI:1182541', 'UMLS:C3236376', 'RXCUI:1182542', 'UMLS:C3236377', 'RXCUI:1857601', 'UMLS:C4293584', 'RXCUI:1857603', 'UMLS:C4293456']"	Zidovudine				RX	1	1	1	FALSE	FALSE	FALSE	FALSE
CHEBI:10112	ZILEUTON; ZILEUTON UNCOATED BILAYERED EXTENDED RELEASE TABLET ...600MG			FALSE	"['CHEBI:10112', 'UNII:V1L22WVE2S', 'PUBCHEM.COMPOUND:60490', 'CHEMBL.COMPOUND:CHEMBL93', 'DRUGBANK:DB00744', 'MESH:C063449', 'CAS:111406-87-2', 'DrugCentral:2862', 'GTOPDB:5297', 'HMDB:HMDB0014882', 'INCHIKEY:MWLSOWXNZPKENC-UHFFFAOYSA-N', 'UMLS:C0081408', 'RXCUI:40575', 'RXCUI:199904', 'UMLS:C0693607', 'RXCUI:211777', 'UMLS:C0714138', 'RXCUI:221047', 'UMLS:C0724508', 'RXCUI:316917', 'UMLS:C0991382', 'RXCUI:367657', 'UMLS:C1241632', 'RXCUI:374334', 'UMLS:C1248413', 'RXCUI:572110', 'UMLS:C1606308', 'RXCUI:723847', 'UMLS:C1949464', 'RXCUI:727138', 'UMLS:C1962065', 'RXCUI:730834', 'UMLS:C1965016', 'RXCUI:790889', 'UMLS:C2341815', 'RXCUI:1156238', 'UMLS:C3210677', 'RXCUI:1156239', 'UMLS:C3210678', 'RXCUI:1186493', 'UMLS:C3240245', 'RXCUI:1186494', 'UMLS:C3240246']"	Zileuton				RX	1		1	FALSE	FALSE	FALSE	FALSE
